,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
91,5.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,5.0,0.0,1.6666666,2.3570225,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,1.5,5.0,0.0,0.0,0.0,1.25,2.1650636,39.0,226.0,100.866425,99.52464,100.1708,0.0,0.0,0.0
92,26.0,3.0,6.0,1.1666666,7.0,21.0,5.0,2.0,24.0,0.0,8.666667,10.873004,23.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.6,6.8293486,25.0,0.0,1.0,0.0,6.5,10.688779,36.5,136.0,100.866425,99.52464,100.1708,2.0,0.0,0.5
93,10.0,2.0,3.0,1.0,3.0,10.0,0.0,0.0,10.0,0.0,3.3333333,4.714045,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,1.0,2.1908903,10.0,0.0,0.0,0.0,2.5,4.3301272,33.0,229.0,100.866425,99.52464,100.1708,0.0,0.0,0.0
94,16.0,5.0,5.0,1.0,5.0,11.0,5.0,1.0,15.0,0.0,5.3333335,6.847546,5.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0,1.6,3.1685958,16.0,0.0,0.0,0.0,4.0,6.928203,33.0,60.0,100.866425,99.52464,100.1708,1.0,0.0,0.0
95,38.0,2.0,3.0,1.0,3.0,21.0,17.0,19.0,19.0,0.0,12.666667,8.956686,17.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0,3.8,7.1386275,38.0,0.0,0.0,0.0,9.5,16.454483,33.0,83.0,100.866425,99.52464,100.1708,19.0,0.0,0.0
96,8.0,3.0,5.0,1.4,7.0,7.0,1.0,4.0,4.0,0.0,2.6666667,1.8856181,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,1.6,6.0,0.0,2.0,0.0,2.0,2.4494898,33.0,19.0,100.866425,99.52464,100.1708,4.0,0.0,1.0
97,11.0,4.0,5.0,1.0,5.0,10.0,1.0,1.0,10.0,0.0,3.6666667,4.4969125,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1,2.9816103,7.0,0.0,4.0,0.0,2.75,2.9474566,28.5,32.0,100.866425,99.52464,100.1708,1.0,0.0,2.0
98,6.0,2.0,2.0,1.5,3.0,5.0,1.0,5.0,1.0,0.0,2.0,2.1602468,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6,1.496663,5.0,0.0,1.0,0.0,1.5,2.0615528,26.0,196.0,100.866425,99.52464,100.1708,1.0,0.0,0.5
99,6.0,4.0,4.0,1.0,4.0,4.0,2.0,0.0,6.0,0.0,2.0,2.828427,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6,1.8,5.0,0.0,0.0,1.0,1.5,2.0615528,25.5,237.0,100.866425,99.52464,100.1708,0.0,0.0,0.5
100,44.0,5.0,5.0,1.2,6.0,38.0,6.0,24.0,20.0,0.0,14.666667,10.498677,15.0,0.0,0.0,5.0,0.0,0.0,24.0,0.0,0,4.4,7.9523582,39.0,0.0,5.0,0.0,11.0,16.29417,25.5,274.0,100.866425,99.52464,100.1708,20.0,0.0,2.5
101,56.0,6.0,7.0,1.1428572,8.0,56.0,0.0,6.0,50.0,0.0,18.666666,22.291004,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.6,14.907716,56.0,0.0,0.0,0.0,14.0,24.24871,25.5,245.0,100.866425,99.52464,100.1708,6.0,0.0,0.0
102,37.0,7.0,8.0,1.0,8.0,36.0,1.0,6.0,31.0,0.0,12.333333,13.424687,31.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.7,9.220087,36.0,0.0,1.0,0.0,9.25,15.449514,25.5,48.0,100.866425,99.52464,100.1708,6.0,0.0,0.5
103,34.0,6.0,9.0,1.2222222,11.0,31.0,3.0,18.0,15.0,1.0,11.333333,7.408704,15.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,0,3.4,6.0860496,33.0,0.0,0.0,1.0,8.5,14.150971,35.5,24.0,100.866425,99.52464,100.1708,15.0,0.0,0.5
104,33.0,5.0,5.0,1.2,6.0,17.0,16.0,16.0,12.0,5.0,11.0,4.5460606,6.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0,3.3,5.5145264,33.0,0.0,0.0,0.0,8.25,14.289419,35.5,270.0,100.866425,99.52464,100.1708,12.0,0.0,0.0
105,21.0,4.0,4.0,1.0,4.0,2.0,19.0,0.0,21.0,0.0,7.0,9.899495,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,6.3,20.0,0.0,1.0,0.0,5.25,8.525697,35.5,62.0,100.866425,99.52464,100.1708,0.0,0.0,0.5
106,8.0,1.0,2.0,1.0,2.0,7.0,1.0,0.0,8.0,0.0,2.6666667,3.7712362,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.8,2.0880613,7.0,0.0,1.0,0.0,2.0,2.9154758,33.5,50.0,100.866425,99.52464,100.1708,0.0,0.0,0.5
107,8.0,4.0,4.0,1.0,4.0,8.0,0.0,2.0,6.0,0.0,2.6666667,2.4944382,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,1.8330302,7.0,0.0,1.0,0.0,2.0,2.9154758,27.0,107.0,100.866425,99.52464,100.1708,2.0,0.0,0.5
108,77.0,13.0,13.0,1.0,13.0,49.0,28.0,31.0,46.0,0.0,25.666666,19.154345,46.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.7,15.761028,56.0,0.0,20.0,1.0,19.25,22.664675,27.0,113.0,100.866425,99.52464,100.1708,31.0,0.0,10.5
109,87.0,6.0,8.0,1.5,12.0,83.0,4.0,48.0,39.0,0.0,29.0,20.832666,38.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.7,17.297688,86.0,0.0,1.0,0.0,21.75,37.097,33.5,29.0,100.866425,99.52464,100.1708,39.0,0.0,0.5
