,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360
61,39.0,11.0,17.0,1.0588236,18.0,37.0,2.0,11.0,28.0,0.0,13.0,11.518102,13.0,11.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9,5.7870545,16.0,7.0,16.0,0.0,9.75,6.7221646,42.0,32.2905,33.648197,34.116962,34.36589
62,112.0,36.0,45.0,1.1111112,50.0,92.0,20.0,77.0,35.0,0.0,37.333332,31.478388,30.0,71.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,11.2,21.761435,39.0,7.0,66.0,0.0,28.0,26.410225,42.0,32.2905,33.648197,34.116962,34.36589
63,40.0,11.0,16.0,1.1875,19.0,40.0,0.0,25.0,15.0,0.0,13.333333,10.274023,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.306623,21.0,3.0,16.0,0.0,10.0,8.746428,39.5,32.2905,33.648197,34.116962,34.36589
64,42.0,11.0,18.0,1.0555556,19.0,38.0,4.0,18.0,24.0,0.0,14.0,10.198039,23.0,13.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.2,7.345747,17.0,7.0,18.0,0.0,10.5,7.4330344,39.5,32.2905,33.648197,34.116962,34.36589
65,73.0,14.0,24.0,1.0833334,26.0,72.0,1.0,28.0,45.0,0.0,24.333334,18.553226,43.0,27.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.3,14.311185,46.0,0.0,27.0,0.0,18.25,19.447044,41.0,32.2905,33.648197,34.116962,34.36589
66,37.0,7.0,15.0,1.2666667,19.0,37.0,0.0,23.0,14.0,0.0,12.333333,9.46338,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,7.668768,25.0,0.0,12.0,0.0,9.25,10.328964,41.0,32.2905,33.648197,34.116962,34.36589
67,26.0,6.0,13.0,1.1538461,15.0,24.0,2.0,19.0,7.0,0.0,8.666667,7.845735,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.8514957,7.0,2.0,17.0,0.0,6.5,6.576473,41.0,32.2905,33.648197,34.116962,34.36589
68,25.0,12.0,16.0,1.0625,17.0,25.0,0.0,12.0,13.0,0.0,8.333333,5.9066815,10.0,5.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.5,3.471311,12.0,1.0,12.0,0.0,6.25,5.7608595,38.5,32.2905,33.648197,34.116962,34.36589
69,116.0,26.0,38.0,1.2631578,48.0,103.0,13.0,70.0,46.0,0.0,38.666668,29.044027,43.0,70.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.6,23.251667,62.0,9.0,41.0,4.0,29.0,23.759209,39.5,32.2905,33.648197,34.116962,34.36589
70,23.0,4.0,6.0,1.5,9.0,23.0,0.0,8.0,15.0,0.0,7.6666665,6.1282587,5.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.6891735,12.0,5.0,6.0,0.0,5.75,4.2646804,31.5,32.2905,33.648197,34.116962,34.36589
